"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-17","56","57","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-18","56","63","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-19","57","59","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-20","53","59","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-21","50","53","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-22","46","54","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-23","44","51","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-24","46","50","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-25","42","49","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-26","42","52","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-27","49","57","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-28","50","55","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-29","54","59","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-30","54","60","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-31","49","57","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-01","49","61","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-02","51","65","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-03","51","58","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-04","60","66","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-05","57","60","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-06","47","51","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-07","42","44","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-08","41","49","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-09","38","43","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-10","43","46","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-11","42","46","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-12","43","49","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-13","47","52","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-14","45","48","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-15","47","53","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-11-16","47","51","46"
